org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Elmira,['Detroit on day 1'],3.0,,2.0,"['entire room', 'pets']","['French', 'Mexican', 'American', 'Mediterranean']",,,"Craft a 3-day travel plan for 2 individuals starting from Elmira and heading to Detroit on the 1st day. We are seeking accommodations with an entire room that allows pets. Our culinary preferences include French, Mexican, American, and Mediterranean cuisines.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 200, 'priority': 0, 'question': 'To finalize the travel plan, could you please share the budget you have in mind for this trip?', 'answer': 'The budget for the trip is $200.'}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-25', 'priority': 0, 'question': 'When are you planning to depart for your trip from Elmira to Detroit?', 'answer': 'I plan to depart on March 25, 2022.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 2200, 'priority': 2, 'question': 'It looks like the budget mentioned might not be enough for the trip. Would you be willing to adjust the budget slightly to accommodate the travel plan?', 'answer': ""Absolutely, I believe adjusting the budget to $2,200 would allow for a more comfortable and enjoyable travel experience. It's important to ensure we have enough resources to fully immerse ourselves in the destination and make the most out of the trip.""}]"
Syracuse,"['Augusta on day 1', 'Greenville on day 3']",5.0,2022-03-16,2.0,,"['American', 'Mediterranean']",,2000.0,"I am planning a 5-day trip for 2 individuals starting from Syracuse. We will be visiting Augusta on day 1 and Greenville on day 3. Our departure date is March 16th, 2022, and we have a budget of $2000. We are interested in trying American and Mediterranean cuisines during our journey.",medium,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Augusta on day 1', 'Decatur on day 3'], 'priority': 0, 'question': 'It seems like Greenville is not accessible for your trip. Is there another destination you would like to consider instead of Greenville?', 'answer': ""Decatur has always intrigued me with its charming small-town vibe and rich history. I can already picture myself strolling through the historic downtown area, exploring local shops, and indulging in some delicious Southern cuisine. It's definitely a destination that promises a unique and memorable travel experience.""}]"
,,3.0,,1.0,,,,1800.0,Create a 3-day solo travel plan within a budget of $1800.,easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Appleton on day 1'], 'priority': 0, 'question': 'When and where do you plan to arrive on each day of your 3-day solo travel plan?', 'answer': ""Absolutely thrilled about my upcoming solo adventure! Can't wait to explore Appleton on day 1, soak in the sights and sounds, and immerse myself in the local culture. It's going to be an unforgettable experience!""}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-04', 'priority': 0, 'question': 'When are you planning to depart for your solo travel adventure within the $1800 budget?', 'answer': ""Absolutely thrilled to embark on my solo travel adventure on March 4, 2022! It's going to be an incredible journey within my $1800 budget. Can't wait to explore new places and create unforgettable memories!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Denver', 'priority': 0, 'question': 'Where will you be departing from for your solo travel plan within the $1800 budget?', 'answer': ""I'll be departing from Denver.""}]"
,,3.0,2022-03-24,1.0,,,,1800.0,"I am planning a 3-day solo trip departing on March 24th, 2022, with a budget of $1800.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Killeen on day 1'], 'priority': 0, 'question': 'Which cities are you considering visiting during your 3-day solo trip, and on which specific days do you plan to arrive in each city?', 'answer': ""I can't wait to explore Killeen on day 1! It's going to be such an exciting start to my solo trip. I'm looking forward to immersing myself in the local culture and discovering all the hidden gems this city has to offer.""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Providence', 'priority': 0, 'question': 'Where will you be departing from for your solo trip on March 24th, 2022 with a budget of $1800?', 'answer': 'Providence is where my journey begins, ready to explore new horizons and create unforgettable memories within my budget.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Orlando on day 1'], 'priority': 2, 'question': 'It seems like Killeen is not accessible by any transportation methods. Is there another destination you have in mind for your solo trip?', 'answer': ""Absolutely! Orlando is my top choice for this solo trip. The vibrant atmosphere and endless attractions make it the perfect destination for me. I can already imagine exploring the theme parks, enjoying the warm weather, and immersing myself in the magical world of Orlando. It's definitely a place I'm excited to visit!""}]"
Kona,"['San Diego on day 1', 'Redding on day 3', 'San Jose on day 5']",,2022-03-07,,,,,5800.0,"Craft a travel plan starting from Kona and visiting San Diego on day 1, Redding on day 3, and San Jose on day 5. The departure date is March 7th, 2022, and the budget allocated for this trip is $5800.",easy,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'To better assist you, could you please specify the total number of days you intend to spend on this trip starting from Kona and visiting San Diego, Redding, and San Jose?', 'answer': 'I plan to spend a total of 7 days on this trip.'}, {'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': 'How many people will be joining you on this trip?', 'answer': ""I'll be traveling alone.""}]"
Newark,['Lewiston on day 1'],3.0,2022-03-03,2.0,"['shared room', 'parties']","['Mediterranean', 'Mexican', 'French', 'Indian']",no self-driving,,"Can you organize a 3-day trip for 2 people starting from Newark and heading to Lewiston on day 1? We plan to depart on March 3rd, 2022, and prefer shared room accommodations that allow parties. Our culinary preferences include Mediterranean, Mexican, French, and Indian cuisines. Additionally, we won't be self-driving during this trip.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 1400, 'priority': 0, 'question': 'To better tailor the trip to your preferences, could you please share the budget you have in mind for this 3-day journey for 2 people?', 'answer': 'Our budget for the 3-day trip for 2 people is $1400.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Savannah on day 1'], 'priority': 0, 'question': 'It seems that reaching Lewiston is not possible based on the available transportation methods. Is there another destination you would like to consider for your trip?', 'answer': 'Savannah.'}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['children under 10'], 'priority': 1, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider?"", 'answer': 'Yes, I would consider accommodations that allow children under 10.'}]"
,"['Wichita Falls on day 1', 'Waco on day 3', 'Houston on day 5']",,2022-03-08,2.0,,"['Italian', 'French']",,4100.0,"Can you suggest an itinerary for a party of two visiting Wichita Falls on day 1, moving to Waco on day 3, and then to Houston on day 5? We plan to depart on March 8th, 2022, with a budget of $4100. Additionally, we have a preference for Italian and French cuisine.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you let me know the total number of days you intend to spend on this trip?', 'answer': ""Absolutely, I'm planning to spend a total of 7 days on this trip. I believe it's the perfect amount of time to explore and enjoy everything the destination has to offer.""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Harrisburg', 'priority': 0, 'question': 'I can help with that! Just to clarify, could you please let me know the departure city for your trip?', 'answer': 'Harrisburg'}]"
San Jose,['Portland on day 1'],,2022-03-16,2.0,['pets'],"['Mediterranean', 'French', 'Mexican', 'Indian', 'American']",no flight,1000.0,"Would you be able to organize a trip for 2 individuals starting from San Jose and heading to Portland on day 1? We plan to depart on March 16th, 2022, with a budget of $1000. Our accommodations must be pet-friendly. Additionally, we are interested in exploring a variety of cuisines, including Mediterranean, French, Mexican, Indian, and American. We prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'days', 'value': 3, 'priority': 0, 'question': 'Just to confirm, could you please specify the number of days you are planning for this trip?', 'answer': 'Yes, the trip is planned for 3 days.'}, {'operation': 'REPLACE', 'attribute': 'cuisine', 'value': ['Mediterranean', 'French', 'Mexican', 'Indian'], 'priority': 1, 'question': ""I'm unable to find the cuisines you prefer in the cities you plan to visit. Could you suggest some alternative cuisine options for your trip?"", 'answer': ""Oh, exploring different cuisines is one of my favorite parts of traveling! I'm always up for trying new flavors and dishes. Some alternative cuisine options I enjoy are Mediterranean, French, Mexican, and Indian. Each cuisine has its own unique flavors and ingredients that I find truly fascinating.""}]"
Bakersfield,"['El Paso on day 1', 'Amarillo on day 3', 'Dallas on day 5']",7.0,2022-03-02,1.0,,,,6100.0,"Craft a travel plan for a solo traveler departing from Bakersfield on March 2nd, 2022. The itinerary includes stops at El Paso on day 1, Amarillo on day 3, and Dallas on day 5. The trip is scheduled for 7 days with a budget of $6100.",easy,[]
Washington,"['Los Angeles on day 1', 'San Francisco on day 3']",5.0,,2.0,"['shared room', 'smoking']","['Chinese', 'Mexican', 'American', 'Italian']",no flight,4600.0,"Create a 5-day travel plan for 2 individuals starting from Washington. The itinerary includes visiting Los Angeles on day 1 and San Francisco on day 3. Our accommodation preference is a shared room that allows smoking. We are interested in trying Chinese, Mexican, American, and Italian cuisines. We prefer not to travel by flight and have a budget of $4600.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-14', 'priority': 0, 'question': 'When are you planning to depart from Washington for this 5-day trip?', 'answer': ""Absolutely! I'm thrilled to share that I'll be departing from Washington on March 14, 2022. I can't wait for this exciting 5-day trip!""}, {'operation': 'REPLACE', 'attribute': 'transportation', 'value': None, 'priority': 1, 'question': 'It looks like the no-flight requirement might limit the feasibility of the travel plan. Would you be open to exploring alternative transportation options for your trip?', 'answer': ""Absolutely! I'm open to exploring all kinds of transportation options for this trip. Whether it's trains, buses, or even a scenic road trip, I'm excited to see what's out there. Let's get creative with how we can make this journey happen without flights!""}, {'operation': 'REPLACE', 'attribute': 'housing', 'value': ['not shared room', 'visitors'], 'priority': 1, 'question': ""It seems like the accommodation preference you've mentioned might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': ""I'm really looking for a place where I can have my own space and not have to share a room with anyone. Also, it would be great if the accommodation allows visitors, as I might have friends or family dropping by during my trip.""}]"
,,3.0,2022-03-02,3.0,"['entire room', 'children under 10']",,no flight,2100.0,"Would you be able to organize a 3-day trip for 3 individuals starting on March 2nd, 2022? Our budget is $2100, and we require accommodations that offer an entire room and are child-friendly for children under 10. Additionally, we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Daytona Beach', 'priority': 0, 'question': ""I don't have the departure city for your trip. Can you please let me know where you will be departing from?"", 'answer': ""Absolutely, I'll be departing from Daytona Beach, a city filled with sunshine and beautiful beaches. I can't wait to start my journey from there!""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Atlanta on day 1'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 3-day trip, and could you please provide the specific arrival dates for each destination?', 'answer': ""Oh, Atlanta on day 1 sounds like the perfect start to my adventure! I can already imagine exploring the vibrant city and soaking in all the culture and history it has to offer. It's going to be an unforgettable experience!""}]"
Houston,['Wichita on day 1'],3.0,2022-03-19,,['smoking'],,,,"Could you suggest a 3-day travel plan starting from Houston and heading to Wichita on day 1? We plan to depart on March 19th, 2022, and require accommodations that allow smoking.",medium,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 3, 'priority': 0, 'question': 'Just to make sure I tailor the travel plan accordingly, could you let me know how many people will be joining you on this trip?', 'answer': 'There will be a total of 3 people, including me.'}, {'operation': 'ADD', 'attribute': 'budget', 'value': 2700, 'priority': 0, 'question': 'Do you have a specific budget in mind for this trip from Houston to Wichita starting on March 19th, 2022, and requiring smoking-friendly accommodations?', 'answer': 'My budget for the trip is $2700.'}]"
Santa Ana,"['Helena on day 1', 'Billings on day 3']",5.0,2022-03-06,,,,,2934.0,"Please organize a 5-day trip starting from Santa Ana. We plan to visit Helena on day 1 and Billings on day 3, departing on March 6th, 2022, with a budget of $2934.",easy,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 1, 'priority': 0, 'question': ""I'd love to help plan your trip, but I need to know how many people will be joining you. Could you please provide that detail?"", 'answer': 'Absolutely, it will be just me traveling solo on this adventure!'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 3600, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget slightly to meet the minimum requirements for the itinerary?"", 'answer': ""Absolutely, I'm more than willing to adjust the budget to $3,600. I believe it will allow me to fully experience everything the itinerary has to offer without any compromises. Let's make sure this trip is unforgettable!""}]"
Myrtle Beach,"['Boston on day 1', ""Martha's Vineyard on day 3""]",5.0,,3.0,"['entire room', 'smoking']","['Indian', 'Mexican', 'American', 'Mediterranean']",,3800.0,"Create a 5-day travel plan for 3 individuals starting from Myrtle Beach. The itinerary includes visiting Boston on day 1 and Martha's Vineyard on day 3. Our accommodation preference is an entire room that allows smoking. We have a budget of $3800 and are interested in trying Indian, Mexican, American, and Mediterranean cuisines during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-12', 'priority': 0, 'question': 'When are you planning to depart for your 5-day trip from Myrtle Beach?', 'answer': ""I can't wait for March 12, 2022 to arrive! It's going to be the start of an amazing 5-day adventure from Myrtle Beach.""}]"
Little Rock,"['Houston on day 1', 'Dallas on day 3']",5.0,2022-03-14,1.0,,,,3900.0,"Could you create a 5-day travel plan for a solo traveler starting from Little Rock? The itinerary should include visits to Houston on day 1 and Dallas on day 3. The departure date is set for March 14th, 2022, and the budget allocated is $3900.",easy,[]
Minneapolis,['St. Louis on day 1'],3.0,2022-03-15,1.0,,,,1000.0,"Create a 3-day travel plan for a solo traveler departing from Minneapolis and heading to St. Louis on day 1. The departure date is set for March 15th, 2022, with a budget of $1000.",easy,[]
Fort Lauderdale,"['Atlanta on day 1', 'Decatur on day 3', 'Augusta on day 5']",7.0,2022-03-24,2.0,"['shared room', 'children under 10']","['Indian', 'American', 'Chinese', 'Mediterranean']",,1276.0,"Create a 7-day travel plan for 2 individuals departing from Fort Lauderdale on March 24th, 2022. The itinerary includes visits to Atlanta on day 1, Decatur on day 3, and Augusta on day 5. Our accommodation preference is a shared room that allows children under 10. We have a budget of $1276 and are interested in trying Indian, American, Chinese, and Mediterranean cuisines during our trip.",hard,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['not shared room', 'children under 10'], 'priority': 0, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider for your travel plan?"", 'answer': 'I prefer a not shared room and accommodations that allow children under 10.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 8000, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust your budget slightly to meet the minimum required for the itinerary?"", 'answer': 'I can adjust the budget to $8,000.'}]"
Greer,"['Philadelphia on day 1', 'State College on day 3']",5.0,2022-03-05,1.0,"['shared room', 'visitors']",,,3400.0,"Please organize a 5-day solo trip starting from Greer. The itinerary should include visits to Philadelphia on day 1 and State College on day 3. I plan to depart on March 5th, 2022, with a budget of $3400. I prefer shared room accommodations that allow visitors.",easy,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': None, 'priority': 0, 'question': ""It seems like the accommodation preference you've specified might not be feasible for this trip. Is there another type of accommodation you would consider for your solo adventure?"", 'answer': 'Any accommodation preference is acceptable.'}]"
Greensboro,"['Buffalo on day 1', 'Albany on day 3', 'New York on day 5']",7.0,2022-03-20,2.0,['entire room'],"['Chinese', 'French', 'American', 'Indian']",no flight,3800.0,"I am planning a 7-day trip for 2 individuals starting from Greensboro. We will be visiting Buffalo on day 1, Albany on day 3, and New York on day 5. Our departure date is March 20th, 2022. We prefer accommodations with an entire room. Our culinary preferences include Chinese, French, American, and Indian cuisines. We will not be taking any flights during our journey. Our budget for this trip is $3800.",hard,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Buffalo on day 1', 'Niagara Falls on day 3', 'New York on day 5'], 'priority': 0, 'question': 'It seems Albany is not accessible by any transportation methods. Is there another city you would like to visit instead of Albany?', 'answer': 'Niagara Falls.'}]"
Baton Rouge,"['Abilene on day 1', 'Amarillo on day 3']",5.0,2022-03-16,,"['not shared room', 'pets']",,no flight,2900.0,"Would you be able to organize a 5-day trip starting from Baton Rouge, departing on March 16th, 2022, with a budget of $2900? We plan to visit Abilene on day 1 and Amarillo on day 3. Our accommodation preference is a non-shared room that allows pets, and we prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please let me know how many people will be joining you on this trip?', 'answer': ""It's going to be a fantastic trip with just the two of us exploring and making unforgettable memories together!""}]"
Colorado Springs,,5.0,2022-03-05,1.0,,,,1900.0,"Please plan a 5-day solo trip starting from Colorado Springs on March 5th, 2022, with a budget of $1900.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Moline on day 1', 'Rockford on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your solo trip, and on which specific days do you plan to arrive in each city?', 'answer': ""I am beyond excited about exploring Moline on day 1 and then heading to Rockford on day 3. Each city has its own unique charm and I can't wait to immerse myself in the local culture and experiences they have to offer.""}]"
,"['Twin Falls on day 1', 'Lewiston on day 3', 'Boise on day 5']",7.0,2022-03-04,2.0,"['entire room', 'smoking']",,no flight,5100.0,"I am planning a 7-day trip for 2 individuals starting on March 4th, 2022. Our itinerary includes visiting Twin Falls on day 1, Lewiston on day 3, and Boise on day 5. We are looking for accommodations with an entire room that allows smoking. Additionally, we prefer not to use flights for transportation. Our budget for this trip is $5100.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Las Vegas', 'priority': 0, 'question': 'I see you have a detailed itinerary planned for your trip. To assist you better, could you please let me know the departure city for your upcoming 7-day trip?', 'answer': 'Yes, the departure city for my upcoming 7-day trip is Las Vegas.'}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Twin Falls on day 1', 'Pocatello on day 3', 'Boise on day 5'], 'priority': 1, 'question': 'It seems Lewiston is not accessible by any transportation methods. Do you have another destination in mind that we could include in your itinerary?', 'answer': 'Pocatello.'}]"
,"['Houston on day 1', 'Dallas on day 3']",5.0,2022-03-25,1.0,,,,2100.0,"Can you suggest a travel plan for a solo traveler departing on March 25th, 2022, with a budget of $2100, visiting Houston on day 1 and Dallas on day 3? We only have 5 days for this trip.",easy,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Albuquerque', 'priority': 0, 'question': 'I see you have your travel plan ready, but I need to know the departure city for your trip. Where will you be departing from?', 'answer': ""Oh, Albuquerque is such a vibrant city with its rich culture and stunning landscapes. I can't wait to start my journey from there and explore all the hidden gems along the way. The thought of departing from Albuquerque already fills me with excitement and wanderlust!""}]"
Washington,"['Los Angeles on day 1', 'San Francisco on day 3']",5.0,2022-03-14,2.0,"['not shared room', 'visitors']","['Chinese', 'Mexican', 'American', 'Italian']",,4600.0,"Craft a 5-day travel plan for 2 individuals starting in Washington. We plan to visit Los Angeles on day 1 and San Francisco on day 3, departing on March 14th, 2022. Our budget is $4600. We prefer accommodations that offer not shared rooms and allow visitors. Our culinary preferences include Chinese, Mexican, American, and Italian cuisines.",hard,[]
Billings,"['Flagstaff on day 1', 'Yuma on day 3', 'Phoenix on day 5']",7.0,2022-03-21,6.0,['visitors'],,,4119.0,"Create a 7-day travel plan for 6 individuals starting from Billings. The itinerary includes visiting Flagstaff on day 1, Yuma on day 3, and Phoenix on day 5. We plan to depart on March 21st, 2022, with a budget of $4119. The accommodation should be visitor-allowed.",medium,"[{'operation': 'REPLACE', 'attribute': 'budget', 'value': 11700, 'priority': 0, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to consider adjusting the budget to meet the minimum required amount for the itinerary?"", 'answer': 'I can adjust the budget to $11,700.'}]"
Peoria,"['Moline on day 1', 'Chicago on day 3', 'Rockford on day 5']",7.0,2022-03-13,,['children under 10'],,,8400.0,"Would you be able to organize a 7-day trip starting from Peoria and including visits to Moline on day 1, Chicago on day 3, and Rockford on day 5? We plan to depart on March 13th, 2022, with a budget of $8400. Additionally, our accommodations should be suitable for children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 3, 'priority': 0, 'question': 'Just to clarify, how many people will be joining you on this trip?', 'answer': ""We've got a fun trio ready to embark on this adventure together! It's going to be a fantastic journey with all three of us exploring and creating unforgettable memories along the way.""}]"
Greensboro,"['Buffalo on day 1', 'Niagara Falls on day 3', 'New York on day 5']",,2022-03-20,2.0,['entire room'],"['Chinese', 'French', 'American', 'Indian']",no flight,,"Create a travel plan for 2 individuals starting from Greensboro. The itinerary includes visiting Buffalo on day 1, Niagara Falls on day 3, and New York on day 5. We plan to depart on March 20th, 2022, and prefer accommodations with an entire room. Our culinary preferences encompass Chinese, French, American, and Indian cuisines. Additionally, we opt for transportation without flights.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 1561, 'priority': 0, 'question': 'What is the budget you have in mind for this travel plan for two individuals starting from Greensboro and visiting Buffalo, Niagara Falls, and New York without flights?', 'answer': 'Our budget for the trip is $1561 for two individuals.'}, {'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Could you please specify the total number of days you intend to spend on this trip starting from Greensboro and visiting Buffalo, Niagara Falls, and New York?', 'answer': 'The total number of days for the trip is 7.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 3800, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you be willing to adjust the budget to meet the minimum required amount for the itinerary?"", 'answer': ""Absolutely, I believe that by adjusting the budget to $3,800, we can unlock even more amazing possibilities for this trip! Let's make sure we have enough to truly make the most of this experience.""}]"
Houston,,7.0,2022-03-23,1.0,,,,7700.0,"Please create a 7-day travel plan starting from Houston for a solo traveler. The departure date is March 23rd, 2022, and the budget is $7700.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Beaumont on day 1', 'Moab on day 3', 'Vernal on day 5'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 7-day trip, and could you provide the specific days you plan to arrive in each city?', 'answer': ""Absolutely! I'm really excited about exploring Beaumont on day 1, then heading to Moab on day 3, and finally reaching Vernal on day 5. Each city has its own unique charm and I can't wait to experience them all!""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Salt Lake City on day 1', 'Moab on day 3', 'Vernal on day 5'], 'priority': 1, 'question': 'It seems that Vernal is not accessible by any transportation methods. Is there another destination you would like to consider instead?', 'answer': 'Salt Lake City.'}]"
West Palm Beach,['Scottsbluff on day 1'],3.0,2022-03-13,1.0,,,,900.0,"Would you be able to organize a 3-day trip for one person starting from West Palm Beach and heading to Scottsbluff on day 1? The departure date is set for March 13th, 2022, and the budget allocated is $900.",easy,"[{'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Atlanta on day 1'], 'priority': 0, 'question': 'It seems that Scottsbluff is not accessible by any transportation methods. Is there another destination you would like to consider for your trip?', 'answer': ""Absolutely, Atlanta has always been on my bucket list! The vibrant culture, delicious food, and rich history make it a perfect choice for my next adventure. I can't wait to explore all the amazing attractions the city has to offer.""}]"
,['Helena on day 1'],3.0,2022-03-25,4.0,['smoking'],,,5500.0,"Can you suggest a 3-day travel plan for 4 individuals starting on March 25th, 2022, with the first-day stop in Helena? Our budget is $5500, and we require smoking-friendly accommodations.",medium,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Baton Rouge', 'priority': 0, 'question': ""I'm missing the departure city for your trip. Where will you be starting your journey from?"", 'answer': ""I'll be starting my journey from Baton Rouge.""}, {'operation': 'REPLACE', 'attribute': 'dest', 'value': ['Dallas on day 1'], 'priority': 1, 'question': 'It seems Helena is not accessible for your travel plan. Is there another city you would like to consider for the first day of your trip?', 'answer': 'Dallas.'}]"
Evansville,,5.0,2022-03-17,,"['private room', 'children under 10']",,no flight,1428.0,"I am planning a 5-day trip starting from Evansville on March 17th, 2022. Our budget is $1428, and we are looking for accommodations with a private room that allows children under 10. We prefer not to travel by flight.",hard,"[{'operation': 'ADD', 'attribute': 'people_number', 'value': 2, 'priority': 0, 'question': 'Could you please clarify how many people will be joining you on this trip?', 'answer': 'Two people, including myself.'}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['San Angelo on day 1', 'Wichita Falls on day 3'], 'priority': 0, 'question': 'Which cities are you considering visiting during your 5-day trip, and could you provide the specific days you plan to arrive in each city?', 'answer': 'I plan to visit San Angelo on day 1 and Wichita Falls on day 3.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 2800, 'priority': 2, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget to meet the minimum required amount?"", 'answer': 'I can adjust the budget to $2,800.'}]"
Sarasota,,3.0,2022-03-02,1.0,,,,1119.0,"I am planning a 3-day solo trip starting from Sarasota on March 2nd, 2022, with a budget of $1119.",easy,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Philadelphia on day 1'], 'priority': 0, 'question': 'Which cities do you intend to visit during your 3-day solo trip, and on which specific days do you plan to arrive in each city?', 'answer': ""Ah, Philadelphia on day 1 sounds like the perfect start to my solo adventure! I can already imagine exploring the historic streets and trying out some delicious Philly cheesesteaks. It's going to be an exciting journey filled with new experiences and discoveries.""}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 2100, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for your trip. Would you be willing to adjust your budget to meet the minimum required amount?"", 'answer': ""Absolutely, I'm more than willing to adjust the budget to $2,100! I believe it will enhance the overall experience of my trip and allow me to fully immerse myself in all the wonderful activities and sights. Let's make it happen!""}]"
,"['Houston on day 1', 'San Antonio on day 3', 'Dallas on day 5']",7.0,2022-03-03,2.0,"['entire room', 'parties']","['Mexican', 'Italian', 'Chinese', 'American']",,,"Craft a 7-day travel plan for 2 individuals starting on March 3rd, 2022. We plan to visit Houston on the 1st day, San Antonio on the 3rd day, and Dallas on the 5th day. Our accommodation preference is an entire room that allows parties. We are interested in savoring Mexican, Italian, Chinese, and American cuisines during our trip.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 7200, 'priority': 0, 'question': 'What budget range are you considering for this 7-day travel plan for two individuals starting on March 3rd, 2022?', 'answer': 'Our budget for the 7-day trip for two individuals starting on March 3rd, 2022, is $7200.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Key West', 'priority': 0, 'question': 'Where will you be departing from for this 7-day trip starting on March 3rd, 2022?', 'answer': 'I will be departing from Key West.'}]"
,,5.0,2022-03-27,3.0,['private room'],,,5900.0,"Please create a 5-day travel plan for 3 individuals, departing on March 27th, 2022. Our budget is $5900, and we prefer accommodations with a private room.",medium,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Detroit on day 1', 'Alpena on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your trip, and on which specific days do you plan to arrive in each city?', 'answer': 'I plan to visit Detroit on day 1 and Alpena on day 3.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Austin', 'priority': 0, 'question': 'I can help with that! Just to clarify, could you please let me know the departure city for your trip?', 'answer': 'The departure city for my trip is Austin.'}]"
,"['Abilene on day 1', 'Amarillo on day 3', 'Lubbock on day 5']",7.0,2022-03-19,2.0,['entire room'],"['Chinese', 'American', 'Mexican', 'French']",no flight,,"We are planning a 7-day trip for 2 individuals, departing on March 19th, 2022. Our itinerary includes visiting Abilene on day 1, Amarillo on day 3, and Lubbock on day 5. We prefer accommodations with an entire room. Our mode of transportation will not involve flights. Additionally, we are interested in savoring Chinese, American, Mexican, and French cuisines during our journey.",hard,"[{'operation': 'ADD', 'attribute': 'budget', 'value': 5500, 'priority': 0, 'question': 'Could you please share the budget you have in mind for this 7-day trip for 2 individuals departing on March 19th, 2022, with the specified itinerary and accommodation preferences?', 'answer': 'Our budget for the 7-day trip for 2 individuals departing on March 19th, 2022, with the specified itinerary and accommodation preferences is $5500.'}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Moline', 'priority': 0, 'question': 'I have all the details about your trip except for one crucial piece of information. Could you please let me know the departure city for your upcoming 7-day journey?', 'answer': 'Moline is such a charming departure city for my upcoming journey! I can already imagine the excitement of starting my 7-day adventure from there. The thought of exploring new places from Moline as my starting point fills me with anticipation and wanderlust.'}]"
